Application,Total,Instance Private Methods,Instance Package-Private Methods,Instance Protected,Instance Protected Overridden Methods,Instance Public Methods,Instance Public Overridden Methods,Static Private Methods,Static Package-Private Methods,Static Protected,Static Public Methods,Not Found Methods,Constructors,"Instance Private Methods, %","Instance Package-Private Methods, %","Instance Protected Methods, %","Instance Protected Overridden, %","Instance Public Methods, %","Instance Public Overridden Methods, %","Static Private Methods, %","Static Package-Private Methods, %","Static Protected, %","Static Public Methods, %","Not Found Methods, %","Constructors, %",GitHub Forks,GitHub Stars,GitHub Open Issues,GitHub Size (KB),GitHub Age (ms)
Apache Derby 10.16.1.1,59721058,6311751,5280233,17061664,174,28235093,6500,97807,9866,405635,1410840,661777,239718,10.5687,8.8415,28.5689,0.0003,47.2783,0.0109,0.1638,0.0165,0.6792,2.3624,1.1081,0.4014,137,316,7,84420,385971523591
Apache Kafka 3.4.0,1802910,114164,44645,9129,80423,563420,531450,37432,1134,0,94184,174892,152037,6.3322,2.4763,0.5063,4.4607,31.2506,29.4773,2.0762,0.0629,0.0000,5.2240,9.7005,8.4329,13024,25807,1059,166032,381006792090
Apache Tomcat 10.1.8,1821923,36435,795,14031,85524,1206167,120464,8575,13173,3097,314983,9341,9338,1.9998,0.0436,0.7701,4.6942,66.2030,6.6119,0.4707,0.7230,0.1700,17.2885,0.5127,0.5125,4699,6912,18,148913,376985956798
Apache Catalina 10.1.8,857349,195745,8545,24918,777,156607,422209,19424,0,0,8546,17171,3407,22.8314,0.9967,2.9064,0.0906,18.2664,49.2459,2.2656,0.0000,0.0000,0.9968,2.0028,0.3974,4699,6912,18,148913,376985962756
Apache Coyote 10.1.8,342363,55052,22457,26385,13979,186416,34156,3857,0,0,0,61,0,16.0800,6.5594,7.7067,4.0831,54.4498,9.9765,1.1266,0.0000,0.0000,0.0000,0.0178,0.0000,4699,6912,18,148913,376985968350
Spring Framework 5.3.27,1180150,66354,58482,89178,25697,222616,251106,22832,33522,714,168368,162724,78557,5.6225,4.9555,7.5565,2.1774,18.8634,21.2775,1.9347,2.8405,0.0605,14.2667,13.7884,6.6565,36853,53078,1191,196660,402657310762
Jackson Databind 2.13.5,97586,713,0,11408,0,32798,27094,0,0,0,2852,10600,12121,0.7306,0.0000,11.6902,0.0000,33.6093,27.7642,0.0000,0.0000,0.0000,2.9226,10.8622,12.4208,1327,3347,506,75429,369813739444
Jackson Core 2.13.5,67022,713,0,9269,2852,24955,17112,713,0,0,3565,0,7843,1.0638,0.0000,13.8298,4.2553,37.2340,25.5319,1.0638,0.0000,0.0000,5.3191,0.0000,11.7021,743,2174,48,23978,369832752734
Apache Tomcat 9.0.75,1331593,32041,732,20022,16472,851410,116547,7138,12102,4984,253695,7871,8579,2.4062,0.0550,1.5036,1.2370,63.9392,8.7524,0.5360,0.9088,0.3743,19.0520,0.5911,0.6443,4699,6912,18,148913,376985990039
Apache Catalina 9.0.75,537276,37114,11422,16547,0,113579,297171,16422,0,0,22129,19294,3598,6.9078,2.1259,3.0798,0.0000,21.1398,55.3107,3.0565,0.0000,0.0000,4.1187,3.5911,0.6697,4699,6912,18,148913,376985996662
