Application,Total Methods,Static Methods,Instance Methods,Constructors,Not Found Methods (lambdas),Total Time (ms),Time in Static Methods (ms),Time in Intense Methods (ms),Time in Constructors Methods (ms),Percent of Static Methods,Percent of Instance Methods,Percent of Constructors,Percent Not Found Methods,Percent Dirty Static Methods,Percent Dirty Instance Methods
Apache Derby 10.16.1.1,59721058,1924148,56895415,239718,661777,269717.6,7021.3,258932.0,869.0,3.22,95.27,0.40,1.11,4.33,96.38
Apache Kafka 3.4.0,1802910,132750,1343231,152037,174892,8923.8,739.6,6704.9,662.3,7.36,74.50,8.43,9.70,17.06,84.20
Apache Tomcat 10.1.8,1821923,339828,1463416,9338,9341,7097.6,1268.3,5689.5,59.5,18.65,80.32,0.51,0.51,19.16,80.84
Apache Catalina 10.1.8,857349,27970,808801,3407,17171,5118.9,249.0,4573.6,11.1,3.26,94.34,0.40,2.00,5.27,96.34
Apache Coyote 10.1.8,342363,3857,338445,0,61,2931.1,23.0,2907.2,0.0,1.13,98.86,0.00,0.02,1.14,98.87
Spring Framework 5.3.27,1180150,225436,713433,78557,162724,6323.6,950.0,3993.0,380.4,19.10,60.45,6.66,13.79,32.89,74.24
Jackson Databind 2.13.5,97586,2852,72013,12121,10600,461.1,5.0,331.0,66.0,2.92,73.79,12.42,10.86,13.78,84.66
Jackson Core 2.13.5,67022,4278,54901,7843,0,301.0,17.0,239.0,45.0,6.38,81.91,11.70,0.00,6.38,81.91
Apache Tomcat 9.0.75,1331593,277919,1037224,8579,7871,5455.4,1081.0,4242.7,66.4,20.87,77.89,0.64,0.59,21.46,78.48
Apache Catalina 9.0.75,537276,38551,475833,3598,19294,2844.7,270.0,2307.4,9.1,7.18,88.56,0.67,3.59,10.77,92.16
Apache Coyote 9.0.75,337543,3542,331085,0,2916,2258.1,22.0,2228.2,0.0,1.05,98.09,0.00,0.86,1.91,98.95
Takes 1.24.4,94436,16665,54506,20680,2585,664.0,296.6,245.3,54.6,17.65,57.72,21.90,2.74,20.38,60.45
Cactoos 0.54.0,427570,0,125070,255145,47355,1521.3,0.0,453.8,898.1,0.00,29.25,59.67,11.08,11.08,40.33
Opensymphony 2.4.2,196899,26965,141723,11811,16400,1032.5,176.0,779.5,27.0,13.69,71.98,6.00,8.33,22.02,80.31
Jetty 10.0.15,365503,90413,260618,6272,8200,54891.9,396.8,54436.3,34.5,24.74,71.30,1.72,2.24,26.98,73.55
Struts 6.1.2,23385,2932,16216,3993,244,113.2,14.2,87.5,10.9,12.54,69.34,17.08,1.04,13.58,70.39
OGNL 3.3.4,78752,22162,53415,3175,0,250.2,93.2,149.4,7.6,28.14,67.83,4.03,0.00,28.14,67.83
Project Reactor 3.5.0,383922,70686,162855,83160,67221,1850.0,186.0,921.0,333.0,18.41,42.42,21.66,17.51,35.92,59.93
Netty 4.1.92.Final,4077312,985850,2500333,46684,544445,18603.7,4319.8,11432.3,314.2,24.18,61.32,1.14,13.35,37.53,74.68
Micronaut 3.9.3,632290,101180,384184,51977,94949,3398.6,461.1,2245.7,197.6,16.00,60.76,8.22,15.02,31.02,75.78
Total,74376842,4297984,67232717,998095,1848046,393758.3,17589.9,362899.3,4046.3,5.78,90.39,1.34,2.48,8.26,92.88
