Application,Total Methods,Static Methods,Instance Methods,Constructors,Not Found Methods (lambdas),Total Time (ms),Time in Static Methods (ms),Time in Intense Methods (ms),Time in Constructors Methods (ms),Percent of Static Methods,Percent of Instance Methods,Percent of Constructors,Percent Not Found Methods,Percent Dirty Static Methods,Percent Dirty Instance Methods
Apache Derby 10.16.1.1,56138367,1620987,52976965,464090,1076325,256137.0,6074.6,244003.9,1606.2,2.89,94.37,0.83,1.92,4.80,96.29
Apache Kafka 3.4.0,1810372,108538,959507,172526,569801,10767.9,624.6,4755.0,687.1,6.00,53.00,9.53,31.47,37.47,84.47
Apache Tomcat 10.1.8,697025,36436,640575,10432,9582,3500.3,510.2,2836.4,51.4,5.23,91.90,1.50,1.37,6.60,93.28
Spring Framework 5.3.27,1045850,229887,556695,87796,171472,5924.4,955.0,3511.0,423.6,21.98,53.23,8.39,16.40,38.38,69.62
Takes 1.24.4,47851,16665,8911,20680,1595,469.8,186.9,164.3,56.0,34.83,18.62,43.22,3.33,38.16,21.96
Verification Half,15940,5314,5313,5313,0,292.0,241.0,22.0,29.0,33.34,33.33,33.33,0.00,33.34,33.33
Verification Instance,26316,1,10526,15789,0,418.0,271.0,69.0,78.0,0.00,40.00,60.00,0.00,0.00,40.00
Verification Statics,10671,10671,0,0,0,233.0,233.0,0.0,0.0,100.00,0.00,0.00,0.00,100.00,0.00
Struts 6.1.2,25085,3789,16029,5161,106,125.1,18.5,92.8,13.5,15.10,63.90,20.57,0.42,15.53,64.32
Micronaut 3.9.3,597590,106715,338171,55585,97119,3225.6,481.1,2018.7,211.6,17.86,56.59,9.30,16.25,34.11,72.84
Total,60415067,2139003,55512692,837372,1926000,281093.1,9595.9,257473.1,3156.4,3.54,91.89,1.39,3.19,6.73,95.07
